district_code,state,district_num,pres16_total,pres16_dem,pres16_rep,comp16-20_total,comp16-20_dem,comp16-20_rep,pres20_total,pres20_dem,pres20_rep,pres24_total,pres24_dem,pres24_rep,pop_adj_asian,pop_adj_black,pop_adj_hispanic,pop_adj_native,pop_adj_pacific,pop_adj_total,pop_adj_white,vap_total,vap_white,vap_hispanic,vap_black,vap_asian,vap_native,vap_pacific,x_22_2022_age_age_0_9,x_22_2022_age_age_10_19,x_22_2022_age_age_20_29,x_22_2022_age_age_30_39,x_22_2022_age_age_40_49,x_22_2022_age_age_50_59,x_22_2022_age_age_60_69,x_22_2022_age_age_70_79,x_22_2022_age_age_o79,x_22_2022_education_assoc,x_22_2022_education_bach,x_22_2022_education_doc,x_22_2022_education_hs,x_22_2022_education_master,x_22_2022_education_nohs,x_22_2022_education_prof,x_22_2022_education_somecol,x_22_2022_household_income_100_125k,x_22_2022_household_income_10_15k,x_22_2022_household_income_125_150k,x_22_2022_household_income_150_200k,x_22_2022_household_income_15_20k,x_22_2022_household_income_20_25k,x_22_2022_household_income_25_30k,x_22_2022_household_income_30_35k,x_22_2022_household_income_35_40k,x_22_2022_household_income_40_45k,x_22_2022_household_income_45_50k,x_22_2022_household_income_50_60k,x_22_2022_household_income_60_75k,x_22_2022_household_income_75_100k,x_22_2022_household_income_o200k,x_22_2022_household_income_u10k
OH-13,OH,13,370229,186781,167088,337855,176277,153613,400322,209165,185484,390355,199819,186970,32818,124949,21489,16440,863,786630,588657,624573,486586,13986,86307,23137,12013,547,87351,97139,107229,96443,92362,103720,101908,64380,34202,45503,113652,7495,164561,50262,39721,10475,113262,30048,15629,21653,24880,13474,14520,14694,13411,13923,13111,13109,23697,31244,43344,25902,17071
OH-14,OH,14,384397,153445,214436,351303,149371,193541,422570,172571,244475,413435,162913,247101,10974,48068,24928,15144,683,786630,681902,627650,555927,15542,32679,7811,11000,469,81629,95807,93160,87100,91764,109635,114609,73398,38879,48187,96827,4520,203057,41073,48473,7419,111574,33771,12562,22238,23569,11172,12842,13842,13488,13038,13392,13953,24549,32819,44130,22596,14006
OH-15,OH,15,327346,138691,173051,300889,133875,160423,367368,167294,194272,360648,160499,196618,38224,106703,46774,17606,1030,786630,578503,599242,460518,29529,69218,26938,12781,693,100202,102201,101529,117717,103184,100490,86896,47134,22942,42306,107717,6265,168403,45998,53000,9937,103533,34973,11229,24631,25931,9294,10891,10062,10849,11611,13178,12085,23741,33313,41596,23045,12249
OK-01,OK,1,295222,97934,179882,284651,103964,169458,320366,121871,190281,314995,120247,188086,33959,91759,109570,116914,2236,791871,453790,597950,372186,68384,61502,22946,78222,1352,105837,111069,107524,111045,97361,93321,87144,53003,26251,47744,110413,6285,137483,39647,50806,11650,119645,30509,11088,20595,22676,10177,11545,15095,12057,12530,12998,12509,25554,29937,40087,25572,16461
OK-02,OK,2,301291,68868,219041,285375,75339,200814,321517,72000,243615,325621,69690,250807,9256,38478,44111,231916,1962,791871,478909,609272,398595,26431,25892,6194,154864,1109,97970,107077,99356,95830,92016,100468,101224,68696,35054,47044,70716,3439,201923,25045,70707,4302,118568,24270,17436,14790,14230,15658,17200,18779,15058,14393,14211,12924,25224,30829,36428,11689,18916
OK-03,OK,3,266306,65688,185731,249978,69526,171362,279059,76638,196075,274858,73264,196545,16917,54778,160404,94321,5410,791871,476024,594875,385075,100974,37103,12279,63107,3082,106872,116646,115164,106542,92155,90967,82981,52421,28787,38776,71905,5027,174854,26449,76092,3964,109771,25100,15655,15769,16015,13600,14351,16445,14064,13590,12614,12753,26087,30414,37396,12005,19004
OK-04,OK,4,289633,84987,187332,277041,91675,173857,312061,104031,200483,311317,101422,203949,28547,83688,79628,105607,3321,791870,506779,605586,411298,50555,55508,20758,70078,2151,95917,112221,122840,108213,93455,91434,87696,54547,27915,41243,88355,7141,164263,36760,49998,7380,123511,28970,12088,21044,20894,11379,12257,14454,12492,13024,13519,13074,26024,29966,42097,16517,16329
OK-05,OK,5,300540,102898,177150,294570,111787,170823,327696,129350,189826,339241,134833,196699,34935,113995,78218,85073,2097,791870,491686,603015,396700,49277,78904,25158,56921,1297,104124,106508,109443,112323,97082,93410,88679,55955,25954,42322,124350,7537,128631,49512,42090,14861,121066,29922,11327,21105,24257,10069,12764,13801,10323,11321,12924,13329,23413,30124,42329,30007,15281
OR-01,OR,1,333070,202099,93579,364978,238623,108810,395512,268304,114116,368037,245702,107307,87668,24784,105954,24160,6827,706209,462669,565011,389985,71727,17100,65067,18199,4655,73291,80942,100333,116534,98140,84985,79287,48372,21414,41099,135487,16383,89606,64448,35136,17401,105740,30316,8264,24938,33816,7100,7735,7887,8714,8937,9066,8513,16597,24325,38576,45833,11232
OR-02,OR,2,323892,101332,191223,351586,125927,209664,381197,138802,231497,367425,128291,227577,15049,10477,102458,41556,4923,706209,532626,558745,440143,66105,6633,10567,30130,3214,77339,85330,81214,86215,81184,84536,103395,71154,34733,48861,73584,4206,148534,30593,53905,7810,136139,25985,12372,17397,16958,12139,13105,12228,12040,11144,13188,11800,22050,28247,38724,16051,14204
OR-03,OR,3,329908,219816,77122,359992,253935,89930,389868,280723,97583,351633,248749,88287,69838,54453,99967,27327,8651,706209,455231,562802,382318,67601,37804,52847,20395,5913,74139,79625,92859,120892,105938,85125,77246,43751,20929,43187,127473,7717,101567,55136,46194,13804,112145,28777,9218,23760,27696,7732,8033,8499,8260,9243,9669,9178,17997,25792,37192,33446,10782
OR-04,OR,4,353364,171251,143081,380132,202986,157962,410411,224384,172533,391308,211865,164980,30355,14067,62629,35968,5045,706208,558236,581229,472942,42694,9405,23617,26796,3447,64643,83188,106345,82140,78584,84352,101516,70575,34553,47721,92850,11297,119248,43794,36092,10320,134719,28624,13679,18811,19320,12925,13079,12156,12177,13261,12809,11183,23331,29055,39065,19502,16499
OR-05,OR,5,351454,161179,151130,391453,198184,174673,427100,225528,188045,415589,217920,182245,33808,13615,71089,25491,4788,706209,556406,557469,454237,46428,8538,23974,18687,3156,79724,84307,82748,96196,93570,89655,92618,60797,28836,48537,118037,8343,110770,47276,34483,13082,125811,30076,7346,21700,29359,7179,8514,8414,8812,8662,8965,9695,19261,25690,38120,34208,10537
OR-06,OR,6,308344,146059,125501,338926,177659,143999,368952,202149,153928,351400,188863,149183,38578,17296,146660,31224,9475,706212,470990,545396,386650,94839,10975,27713,22524,6134,81934,94858,98414,98014,89561,83491,81491,51869,26493,43585,106754,6798,104337,41784,47492,9782,120029,31043,8549,21692,25358,8089,8292,8141,8981,9370,8767,9273,19511,25871,33077,27817,10200
PA-01,PA,1,402738,195159,192317,402348,208430,186135,466261,241494,219860,473750,235347,233794,55699,40390,46406,9290,783,764866,610806,608853,500797,30349,27591,40786,6696,543,77346,94746,85377,90469,93802,116039,106769,62977,35972,45521,141696,10620,150576,70254,30436,13979,84087,32024,4788,25976,38350,5560,7412,6811,7097,7685,7330,7427,16005,23239,35210,58102,7728
PA-02,PA,2,297780,218914,72232,270167,200758,65480,311388,221033,88070,294771,198243,93017,81027,216157,188767,11439,1794,764865,286229,592591,244883,131308,155484,62737,8472,1365,100974,102787,106150,118928,90955,92485,81507,45467,23131,32704,84486,5788,177121,37627,86083,10333,81554,24119,19811,16605,17615,14837,15094,13089,12767,11898,12150,12276,20643,25549,35285,20233,23007
PA-03,PA,3,378614,340416,30380,358767,324021,29786,397131,357958,36748,392226,345301,42202,61017,413200,45569,11050,1280,764864,246457,629365,222395,33629,320864,51368,8588,981,81524,85944,145849,133935,77988,78850,79368,46004,26441,29985,113501,14904,134110,67129,49881,22091,92294,28070,21644,16277,21749,15849,13219,15238,13334,11528,11725,10323,22393,30468,37592,30229,34033
PA-04,PA,4,391456,215499,160945,393902,229888,156454,456826,269145,182670,467816,268450,194506,54031,75527,44623,8775,762,764865,582314,605135,475478,29137,54378,38962,6222,512,82050,95313,87341,95147,96696,108066,102072,58596,39536,41136,148474,13163,138405,77476,29066,19828,75821,31081,5575,26785,35827,6150,7245,7494,6516,8025,6669,8035,16359,24042,36701,59451,8953
PA-05,PA,5,378873,238669,128728,369834,239379,124749,420224,276124,140476,418716,267100,147213,61977,205169,48208,9628,934,764866,444427,594459,365957,31662,146654,45182,6847,686,91268,103440,99953,105279,92826,100046,89193,51153,31030,39961,120176,12735,143064,62838,36985,17598,84932,28945,9407,21517,28045,8072,9779,9044,11502,9185,10001,10401,17317,23873,34859,44682,14074
PA-06,PA,6,359608,188382,156447,358761,197319,153180,414314,235146,174183,425079,234612,186122,45534,61429,125169,12609,1169,764864,529533,588040,427673,82272,43258,30945,8698,796,90603,107272,94485,94201,97501,105292,90874,56240,30046,35972,146277,12858,122485,73331,41158,15153,71836,28205,7411,23890,33124,6619,8082,7402,8389,8016,7482,7526,16362,22406,33750,57909,9537
PA-07,PA,7,339007,158280,167931,331652,166598,157633,396479,197109,194646,410973,196712,209881,29717,66126,146250,11738,1038,764865,524516,606167,440493,98047,44286,21716,8444,729,82007,101539,96474,95577,92774,104435,97201,60981,35866,51181,102708,8249,180302,45501,48690,9134,87513,31393,9626,22723,28137,9580,10325,10975,11328,10821,11409,11139,22333,26057,39116,29073,9942
PA-08,PA,8,332114,147574,174440,322731,161233,154463,381384,183204,194298,390938,177078,210297,20186,69281,100601,12091,1147,764866,570830,615677,481366,67114,47272,15070,8678,753,78291,93986,93279,91008,90345,108873,104283,67583,36486,54515,87003,5817,199358,43261,50014,7643,96565,29802,14018,20388,22137,12299,13204,13261,13423,12367,11834,11803,22015,29583,41327,18612,15161
PA-09,PA,9,338111,95521,229294,328237,108816,210881,386873,119971,261280,398490,121849,272916,10160,27688,44306,11451,914,764864,669737,610368,545984,28370,18578,7211,8339,616,81201,92888,90044,88575,89104,106933,107659,68316,40404,52417,77504,4704,236000,32451,54253,6393,81448,31271,11445,21000,21926,13171,13942,13352,13346,12741,12982,12471,24046,31287,42469,16722,13027
PA-10,PA,10,347683,149131,183631,344832,161274,174967,399547,188628,205129,411822,192786,214312,41079,101805,72462,12109,1180,764864,544794,600698,448938,47283,68934,29488,8761,797,88306,96683,95954,100647,94203,101180,97164,59707,32889,50505,111350,6560,179564,48168,43323,11536,84162,33412,8306,23430,28385,9282,9378,10629,10411,10964,11941,10976,22890,31748,43982,27620,14313
PA-11,PA,11,341583,119074,206105,339190,130528,199525,397045,153328,237727,412526,160180,248304,21199,41832,70434,10785,897,764864,625709,591963,498270,45997,26950,14813,7710,563,92514,102006,94384,94587,87753,98087,96903,60373,38967,42029,98196,5839,187080,42513,61381,7729,80099,35914,7200,25907,26885,7639,9453,9247,9965,9494,10056,10040,20505,31402,43538,26687,8433
PA-12,PA,12,394333,225154,156162,378447,232214,137277,429646,255294,169595,429277,253676,171379,40854,133410,21121,10487,833,764864,557398,629692,477362,15269,95178,32534,7609,570,73644,87190,116035,108430,83518,95204,100837,60969,38662,57961,125986,13085,154821,63179,29872,15151,87478,32540,16009,22170,26761,14141,13277,14274,13673,13871,12865,12132,22910,30145,40160,29461,21462
PA-13,PA,13,346434,87050,247592,338347,98250,232506,400148,107201,288136,413208,110800,298889,8131,28330,27923,12151,755,764864,685539,608305,555296,17552,18063,5797,8796,469,82696,94521,89030,87344,88917,104817,106905,72312,38842,49447,73000,4414,244047,31290,52016,5992,82275,31925,12438,21804,19594,12673,13319,12681,13775,13780,13477,13428,24118,31721,43870,14690,12494
PA-14,PA,14,362759,117354,233777,351158,133973,209404,412029,138883,268695,421591,138811,279249,7699,35308,12146,11304,782,764866,691321,624593,572257,8304,24619,5495,8276,500,75101,85443,90455,86351,87882,108728,114974,71840,41991,58118,91809,5387,225774,40443,39618,7349,86340,30824,14985,21528,22445,13865,14885,14296,14074,13437,13017,13418,23197,31386,43473,19964,15455
PA-15,PA,15,345283,102937,228664,333329,111913,212888,387842,119496,263047,397666,121639,272661,18712,20569,16775,11614,890,764864,691812,621955,564442,12831,16172,15457,8613,663,74398,95901,108020,86229,87115,103186,105215,66272,38914,51479,76437,10537,230006,36828,46578,6063,73121,29526,13131,17685,17922,13363,14606,14430,14299,13067,13012,12254,24641,31427,40757,14984,14464
PA-16,PA,16,360283,132836,212600,350209,144993,196616,406694,158729,242664,417766,159548,254692,14306,46299,20408,12168,635,764865,665554,610144,543898,12768,29501,9923,8764,430,80456,96130,91153,91546,86517,105192,109680,66828,37851,53718,99478,6391,207940,43171,39339,7547,83299,31768,14029,19839,21529,13928,14906,15192,13867,12453,12302,12591,23788,30783,40521,20114,14797
PA-17,PA,17,399032,194206,190058,396088,212852,173541,454518,237732,211218,457124,238977,213801,32398,72514,18447,10475,739,764864,626441,615543,518521,12366,51282,22206,7621,492,82128,82763,80329,104784,89840,103040,111195,67312,38854,58743,146274,11722,148091,68962,22501,16249,88611,32667,10732,24899,32482,10267,11473,11199,10927,11632,10869,12725,22760,31155,42609,39117,12797
RI-01,RI,1,,,,214602,139330,71111,548078,,,,,,25544,63733,101746,11232,1341,,350196,440812,299123,70297,44874,19920,8011,961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RI-02,RI,2,,,,247042,140742,101341,549301,,,,,,22906,36192,80355,12125,990,,403854,446782,343312,55691,25492,17026,8636,694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC-01,SC,1,296870,118151,161864,310262,132131,172675,383012,171778,204859,401148,171283,223769,20720,137077,59591,15289,1603,731203,498807,570538,405889,38918,99209,14413,10965,1048,83649,90055,88417,94840,91554,92415,95183,68230,29515,48908,130029,7924,114178,60049,36669,14185,105215,32826,6862,23788,26944,7186,8869,8445,9581,8732,8817,10104,19546,27534,40730,36086,12075
SC-02,SC,2,312682,121650,175272,311092,130786,174743,366484,160980,199792,365657,154598,205591,21602,198945,51434,16743,1489,731203,446768,563028,360714,33556,142949,15340,12326,1039,87269,99801,93289,95791,92605,95784,89960,54969,25442,50607,106508,9001,128212,49159,43030,10510,104461,27921,10213,19155,22773,9608,10545,11482,12041,12228,11480,12424,23303,27149,40311,23870,15799
SC-03,SC,3,296781,86418,198613,291872,88660,198613,348371,106466,236993,356551,99238,252775,11378,137366,42512,15656,890,731204,524457,577297,427484,27422,101520,8411,11995,575,82365,97891,93189,85842,86346,97247,95133,63054,30953,56333,77742,7210,157429,35278,68205,6403,93050,26190,14662,16341,16282,14084,14664,13315,13424,14309,12452,11671,21612,28507,36315,15512,16709
SC-04,SC,4,289240,102317,171333,288566,109701,173235,347051,138166,202526,354171,132503,215950,24037,148194,77653,15395,1218,731204,468620,565412,379099,50888,107592,17341,11342,780,90709,96456,101101,98081,90946,93542,85239,54379,26753,47841,109534,7160,126788,48486,54146,10047,97516,27559,10540,17992,21782,10606,10511,11497,13420,12101,11318,11961,23381,28747,40142,23332,15610
SC-05,SC,5,302020,114383,175665,302318,121084,176405,365470,147082,213494,373037,141484,226482,18837,188617,39825,16711,1042,731204,468920,562685,374151,25482,138774,12693,11840,681,90200,95304,87431,92864,96523,97633,89456,58016,25898,52536,88251,3087,152553,42097,53736,6241,105852,27586,12166,18818,21855,12022,12497,12461,12718,11258,11271,10105,21978,28274,35346,20831,14978
SC-06,SC,6,305478,195181,98548,291706,189704,98062,336372,219791,111767,312822,189674,118149,15872,358538,45619,12507,1473,731204,304061,586760,261421,31196,275133,12439,9509,1030,78168,95922,121678,104508,77244,86206,90172,53502,26047,46588,84887,6769,148916,37656,63145,8782,98578,21635,16737,13449,14424,15023,15274,14237,14907,14527,13119,12901,22686,29163,33450,15280,27231
SC-07,SC,7,299956,117273,174094,300403,120932,176079,366569,147278,215672,384754,139672,241031,11220,201791,36204,15810,1022,731203,466919,588740,395217,23662,149479,8195,11752,693,75177,89626,83747,80603,85869,98611,113878,81072,29401,54805,77389,4915,183479,32872,60272,6599,111503,22868,14183,15307,15376,13846,15177,15134,14332,13677,13859,13077,23714,29403,35489,14180,20281
SD-01,SD,1,370111,117466,227731,370598,135916,230319,422609,150471,261043,426390,145799,270651,18489,26307,38741,98842,1642,886667,705583,669255,556081,23855,14956,12406,60618,1033,119122,121809,117036,116196,97795,104265,112141,64699,37279,72002,123313,6821,176062,38604,43062,10123,119000,37591,12855,24253,26048,12452,13265,14251,14508,14089,13529,15433,28468,34196,52841,22713,14690
TN-01,TN,1,280824,55039,214656,277288,62302,210212,336345,74137,256562,348338,71642,273125,9239,24950,37332,19531,1017,767871,674765,616550,552337,23185,16903,6671,15172,685,77532,91348,94978,86456,94313,108462,107007,73408,36055,44776,78646,6147,201174,31053,66850,8716,114998,25641,17618,15657,15012,18524,16674,15959,15597,15405,14609,14708,24595,32044,39028,14076,17586
TN-02,TN,2,288684,85250,186902,295094,102151,187019,356252,122697,226786,366789,118780,242963,18436,55734,41560,20061,1023,767871,630610,609503,513806,26468,38404,13658,15340,677,82660,96032,110687,96860,92584,102176,95233,65971,29546,45794,106990,9208,157455,45997,52654,12267,103017,33081,13493,19434,20601,11494,13487,13569,13582,12872,12405,12963,22352,31406,41199,23293,15547
TN-03,TN,3,289486,86551,188419,292060,98590,188049,348155,115367,226465,361360,113479,243146,15574,88094,44410,22174,1078,767871,597466,607013,485954,28002,63672,11359,17033,692,85343,94260,97036,98806,93195,103274,100394,66087,33065,49362,93024,7239,165551,39844,59593,9439,121806,29779,16016,19183,20456,12278,13868,13055,14111,14241,13119,12253,23362,29886,41075,20567,14804
TN-04,TN,4,257047,70072,175876,259998,81225,173863,324528,98034,220500,336883,93024,239833,20160,84304,61910,19723,1122,767872,582497,587445,461084,38964,57907,13978,14896,716,93543,106832,109112,100342,97579,100709,86523,52541,24768,38631,83318,5138,185281,31416,59664,5630,106055,28727,11312,17964,20979,10899,11431,11349,11720,12122,12585,13524,24772,30313,41619,13540,13488
TN-05,TN,5,289102,111405,160782,303342,129464,165595,364786,157650,198868,372745,150048,216736,40160,102908,79120,15364,1189,767871,531224,582505,418881,51058,73823,27435,11531,782,100016,100448,96101,109817,106220,98594,81711,51116,22890,38948,149394,11677,112337,61399,37831,17353,91935,32137,6311,23605,29375,7194,8176,8175,8400,9929,10725,9720,20803,25678,39567,45029,11077
TN-06,TN,6,276975,88343,176471,289654,105594,177834,348142,120085,221543,358723,114088,240187,12965,79753,59323,19716,1078,767871,596648,603423,483180,38463,56693,9376,15119,757,90683,91342,103727,107845,95134,101872,95806,59326,27711,38050,99379,6450,182993,34730,65801,7338,109430,28802,13694,18743,20682,12891,13988,13026,13671,14515,13120,13197,24744,32439,42970,17961,16013
TN-07,TN,7,256478,99393,143635,266769,112483,146984,328624,135688,185391,335476,128044,202555,22558,138302,57129,18400,2659,767871,533197,597796,429888,37116,99724,16900,13766,1620,91692,100099,124726,112548,93814,93208,82940,45447,21565,42514,105807,7671,155108,43265,50322,9831,102557,29864,10663,20380,21099,10623,9556,11309,11611,12290,11373,13212,23505,30959,41611,23114,15587
TN-08,TN,8,313143,90202,212328,303776,92420,206184,360131,110267,244692,344241,98538,241830,20101,144048,27811,14713,934,767871,559984,597005,447346,17498,105799,13713,11250,676,90409,102059,87011,89825,96524,103085,97687,66313,31719,35490,89474,7328,182039,41988,56073,11653,104250,26547,15203,18433,19367,13616,12719,12538,13206,11647,10867,12026,22435,26098,37475,26277,15308
TN-09,TN,9,256288,184440,63856,242836,175771,61578,286026,209786,71668,239387,168622,66490,19490,478021,70592,11754,908,767871,193855,583233,165820,44963,351812,15300,8954,640,105806,103966,121428,107104,90806,90650,84177,43917,20171,33621,83369,5539,156461,38692,61363,7261,115258,22654,17902,16168,14638,13900,15959,15659,13857,15542,13948,13141,24761,28537,32834,14123,25229
TX-01,TX,1,281960,71388,201793,276348,73502,198719,324129,89143,231048,325730,80850,241942,12466,149986,131370,21274,1024,766987,456512,585465,369670,83739,108939,8862,15937,719,98568,111036,102480,95131,89355,90149,94987,56342,32142,44470,75272,4467,152885,27929,68563,5871,127446,23825,12938,17703,18374,13494,12870,14224,12556,11881,10579,11280,21621,28715,36671,16730,17640
TX-02,TX,2,259956,83902,162725,272501,97814,168919,330840,127510,198586,337080,127854,204811,56906,101564,219272,21624,2454,766987,377278,565217,297654,145819,69485,41253,15528,1683,109342,121268,93041,110865,110554,94529,73097,42055,18144,39856,135289,7126,101642,53064,44666,9278,107694,27565,4614,23702,35144,5211,6601,6609,7048,7488,7646,8377,17459,23700,34108,46288,9555
TX-03,TX,3,256071,84177,157174,275070,103182,165424,338661,136761,195871,370352,136992,223427,91019,94200,149552,23390,1771,766987,415627,559537,323213,96391,63626,62400,16566,1156,104795,121237,90131,106275,116748,102187,71303,41627,19741,40526,136552,6321,108394,56890,43320,8453,100918,27574,5364,23507,33886,5728,7100,7407,7651,7903,7764,7621,15243,23002,34504,42190,8958
TX-04,TX,4,271225,91498,166233,290307,108931,175513,356596,143877,207432,367744,134682,225235,130942,80321,94705,23651,1592,766987,440182,576718,350322,63059,56851,89994,16573,1038,96901,112093,89596,105570,119858,101440,77162,50486,23866,39135,157071,8772,96855,80510,33034,12412,96731,28229,6752,23653,33802,7195,7462,7459,7925,7678,7709,8498,17655,25246,32435,57269,9971
TX-05,TX,5,234171,85908,139887,240195,95035,140690,285087,117612,163853,293398,113124,176352,29658,134474,228669,23947,1265,766987,362141,575347,295704,150962,95060,22003,17681,879,104670,107422,103858,111244,98062,93621,79687,45137,23681,39634,82158,4687,144557,31570,79042,6302,117756,26801,9154,20093,21446,8393,9854,11023,11015,11408,11489,10777,20744,28976,35755,21563,11320
TX-06,TX,6,242318,81387,150002,251592,93682,152480,299767,118506,176747,309826,116800,187669,44858,105042,243041,25215,3124,766987,359233,576920,292573,162723,74277,33913,18328,2012,100115,116905,107863,103711,104146,95067,77515,43686,20056,39015,99013,4287,126791,38241,75809,5510,108225,29658,6952,23555,26536,5923,7825,9956,8305,9771,9082,10497,19601,27190,35932,24962,8972
TX-07,TX,7,216246,136788,68106,230811,147431,78287,277197,180252,92917,254110,153127,93619,146116,133284,269732,17395,1498,766987,215919,592451,184825,194592,97504,112111,12829,1052,101751,92169,138435,136234,103809,86043,68673,32901,15508,29612,138437,15291,82871,67784,86779,26446,72248,25100,9413,18124,23783,8587,11895,13313,11596,11311,11456,10615,21212,27896,33033,51341,14965
TX-08,TX,8,216979,82183,126113,230531,90659,135516,286810,115154,167935,308330,109560,194738,57751,142464,261846,22603,1516,766987,297571,572866,240465,179318,100738,44499,16458,1039,104312,118096,112392,107381,103243,89267,77281,40165,15984,39002,105630,5063,122560,36164,64425,7323,107506,27867,7007,19720,22876,6686,9532,10299,10539,9740,9542,11096,18538,26821,34789,28502,12531
TX-09,TX,9,172792,80900,86073,171862,80136,88734,208344,93941,111907,198594,78639,118132,14619,80038,476484,22544,1059,766987,192417,555835,157067,325886,56937,11006,16542,742,116683,126432,112259,102819,100834,86881,69066,35839,16950,33639,43323,1680,151110,14106,126861,2556,92770,22721,10402,15694,16891,9457,11118,12284,11936,12167,10192,11185,20598,25517,33246,12335,12214
TX-10,TX,10,273455,100316,157495,289247,115400,166722,346398,144424,195622,353548,134085,213878,52840,79772,161528,19208,1521,766987,458377,607084,379564,114502,60167,40152,14552,1031,82669,104241,126928,103917,95415,95057,83332,50424,23039,29954,124686,15178,115514,59153,52480,13948,93721,25499,10010,19249,25492,8967,10120,12337,9772,9043,9891,10414,19684,25461,32806,45147,18662
TX-11,TX,11,237293,71489,154780,244895,81025,158547,296164,101256,190220,292892,94213,194696,38266,58335,296966,20827,2026,766987,362807,573499,293012,202469,40408,26867,15581,1361,110284,110625,102594,117036,98627,86220,74152,43807,22592,37892,103205,4878,123473,38521,68806,6091,116187,28968,8847,24170,30501,9225,8434,11376,9093,10485,9993,10524,20391,25708,37590,33256,13875
TX-12,TX,12,224425,79889,133181,240507,93436,141600,294495,118763,170831,314205,117738,192719,34453,82995,254786,23039,1948,766987,381284,574244,308850,171145,56726,25099,16955,1240,103473,108725,110592,116950,96657,90377,73638,42931,20002,38408,99559,4851,130200,38617,77000,8721,100618,29051,8680,20648,24006,8085,9116,10009,10913,9547,10515,10163,20756,28466,36351,28429,13001
TX-13,TX,13,255273,57807,185900,253100,65762,181986,299628,81303,213331,303909,80162,220441,25329,64153,215470,27251,1652,766987,444351,585859,362260,144047,44938,18286,20372,1083,97547,112955,120740,104813,91638,86978,81057,48382,27001,39885,84402,5725,142817,30309,69309,5005,118847,27770,11532,18540,19425,12122,12416,13422,12630,12577,12263,11867,20344,28291,38041,17305,15380
TX-14,TX,14,258022,91831,156210,266127,99570,161443,323319,124542,193976,335400,124943,206349,53395,132276,184950,19119,1281,766987,385771,576965,308968,124508,94913,38093,14013,879,103701,108879,93967,107265,105605,99683,83527,45169,21996,49189,101653,7186,129367,39094,57971,8533,117323,28169,9456,23159,29445,8443,8673,9062,9471,7998,8757,8498,17409,23840,33427,36504,13275
TX-15,TX,15,186305,102450,77141,184425,94823,86317,227421,109875,115253,227873,92600,133315,9596,14885,622979,12127,561,766987,117450,548298,98286,429437,10640,7098,8968,378,120629,133457,113933,98536,93967,77418,64939,43165,23660,26677,59324,2483,130666,20322,122181,3500,90881,18872,14970,13442,12570,12961,13932,12975,10831,10808,10198,9376,17521,23975,26132,10296,18423
TX-16,TX,16,199284,135875,51845,206514,140568,59560,244595,163993,76842,229768,131985,94338,17087,34815,628547,19040,2826,766987,90505,575747,74938,464487,23656,12433,14391,1796,105125,118205,125442,104720,92111,84904,71865,41871,24928,41490,82965,4399,116311,30801,93034,6344,105743,22285,15546,14298,14922,12852,12864,12764,13274,10850,12365,10762,20573,27775,30421,12669,19939
TX-17,TX,17,253878,90932,148062,265976,105515,153674,319296,132377,180962,320775,123163,192428,49557,94581,187315,22323,1940,766987,422960,577865,341177,124417,65715,33954,16360,1260,98951,113523,106649,107604,102852,91037,79190,48718,24455,46582,105583,6586,129152,43193,53760,7649,111664,28915,10046,20723,26008,10439,10005,10914,10934,10497,10175,10080,20407,28368,34933,28318,14065
TX-18,TX,18,222677,182804,32917,226122,183641,38612,267580,217360,47152,243493,186782,53117,57190,343660,272100,16893,1457,766987,98096,584155,86103,187931,262961,47882,12133,1010,96023,104038,118863,117198,99293,85216,72097,39905,18205,29203,88148,10064,129346,38627,90945,12645,94029,23405,14485,15248,18226,10605,11583,11677,13239,11689,11158,13241,23178,27214,33532,19470,22713
TX-19,TX,19,237096,55576,170518,235011,59792,170342,279814,73170,202442,282334,66862,212708,18348,61084,293914,20658,1585,766987,384927,578679,310685,201052,42663,13951,15494,988,102991,114877,131694,102331,85791,80535,76504,45432,26213,36709,74792,6267,139555,28733,76020,6045,104229,26473,14384,16495,17832,12725,12204,13720,12096,11130,12881,12029,22611,26429,37460,17222,17014
TX-20,TX,20,195589,131711,53152,200873,137931,57789,248457,172231,72239,227227,144230,79593,30499,87960,531165,23115,3012,766987,123589,577537,106250,386385,62291,22367,17754,2011,108662,113423,124577,121772,96227,85832,71008,40133,21363,40078,65785,4490,142809,28104,98124,5677,115293,22978,16923,14426,13839,13199,14253,14510,15446,14568,12874,14004,22976,30358,35600,9713,20275
TX-21,TX,21,305819,107136,181262,330078,127367,194796,395339,161525,227694,414749,159472,249919,34159,40779,265655,22343,4930,766987,416457,612155,350514,195204,29944,25925,17102,4128,81803,104600,121654,99884,96071,92255,90027,59783,28657,41743,136393,9724,105686,61083,36975,14758,115373,29205,8511,22512,28039,7696,9855,11729,10652,10964,10197,11450,23541,28114,41055,39144,14014
TX-22,TX,22,244343,85689,147709,263341,100061,157975,325011,131979,188014,335812,126899,201258,113903,93682,222036,16881,1267,766987,329709,561423,257479,151748,63985,80199,12186,795,108115,120354,89260,110071,115213,96334,79832,42919,19940,38555,137822,10391,102798,62862,45029,10902,101290,28932,4710,25481,34636,5849,6101,6525,7456,7051,7138,6484,14750,20289,32579,47198,9106
